Datum,Titel,Ereignis,Personen,Literatur,Archiv,Signatur/Inventarnr.,Folierung,Quelle
1731-10-08,Schreiben des Kaufmanns Diederich Berkmeier an den Rat der Stadt Bremen bezüglich Gefahr eines Steinhandelmonopols durch die Gebrüder Fopma auf den Handel,"Berkemeier informiert den Rat der Stadt Bremen über das Monopolgesuch der Gebrüder Fopma auf den Sandsteinhandel mit Schaumburger Graustein. Er betont, dass die Gebrüder bereits in Obernkirchen und Kassel vorgesprochen und erste Verhandlungen unternommen hätten. Berkemeier selbst handelt ""bereits über 20 Jahre"" mit Sandstein und betont, dass ein Monopol auf diesen Handel in Bremen rechtswiedrig sei. Er nimmt dabei bezug auf Beschlüsse von 1548 und 1577. Die Bremer Wirtschäft würde durch das Monopol gemindert, dem Rat würden Einnahmen entgehen und die Kunden in Holland, Hamurg und anderswo würden auf andere Steinarten ausweichen, um den erhöhten Steinpreisen zu entgehen. ""[D]ie Holländer des Benthmers, die Hamburger das Gotten- burg-ischen Steinbruchts sich zu bedinen, die hiesigen Bürgere aber, da der Benthmer und Gottenburgischer Burch ihnen all zu sehr entlegen, von sothane Moko- et Popolisten nach eigenen Belieben sich decimieren zu laßen gezwungen werden dürfften."" Die Fopmas würden die Preise auf jeden Fall steigen lassen, da sie sowohl die jährliche Abnahmen auf 1000 Fuder Stein begrenzen wollten, als auch die Unterstützung der Obernkirchener Steinhauer über die Preise weitergegeben werden würde.  Berkemeier bittet die Bremer Regierung also, gegen ein solches Monopol einspruch zu erheben, und sich auch bei der ""königl. Svedischen Hessischen Cammer zu Cassel"" dagegen einzusetzen.
Verknüpfungswunsch: ID #668; ID #30; ID #745; ID #12029; ID #11756",ID #1027; ID #753; ID #12031,,StAB,2-S.2.v.10.a,unfoliert,
1731-10-XX,Schreiben der Gebrüder Fopma an den Rat der Stadt Bremen mit Stellungnahme zu den Vorwürfen von Diederich Berkemeier,"Die Gebrüder Fopma wenden sich an den Rat der Stadt Bremen, um zu den Vorwürfen einen Monopolhandel mit Schaumburger Sandstein entablieren zu wollen, Stellung zu nehmen. Dabei beziehen sie sich auf das Schreiben von Diedrich Berkmeier an den Rat. Sie betonen, dass sie tatsächlich vorhätten, einen Vertrag über jährlich ""1000 Fuder Oberländisch, welche 1200 hieselbst regulierte Fuder Blockstein außmachen..."" abzuschließen. Dabei betonen sie aber, dass von einem Monopol nicht zu sprechen sei, da sie zum einen nur einige bestimmt Steinsorten abnehmen, und außerdem auch der Steinbruch am Hannoveraner Huesberg für den Handel offen stehe.  Es gehe ihnen lediglich um die Einrichung eines Vorrats an Sandstein, um bei möglichen Aufträgen schnell liefern zu können und möglichen Schwierigkeiten wie ""wan etwar die Bergwege schlecht, oder das Wasser niedrig..."" ausweichen zu können. Als Beispiel für einen Auftragsverlust durch fehlende Steine auf Lager nennen sie den Bau der Rotterdamer Börse, für den statt dessen Bentheimer Stein benutzt worden sei. Diese nicht erfolgten Liefferungen seien auch für die Akziesekammer der Stadt Bremen nachteilig, da diese ebenfalls keine Einnahmen erzielen könne. Sie werfen Berkemeier darüber hinaus Missgunst vor. Dieser habe versucht ""über 10 Jahr unsere Calanten an sich zu ziehen und wo möglich uns heraus zu dringen bemühet gewesen, jetzt aber der ijnurierde Supplicant in fürchten stehet, daß wen wir ein zulängliches Lager haben, daß allesdan seine Handelung abbruch leyden mögte."" Die Gebrüder Fopma weisen auch auf die Handlung der Firma Schröder mit Braunstein hin, die monopolisiert sei. Sie hoffen, dass Bürgermeister und Rat den Forderungen des Supplikanten Berkemeier nicht nachgeben werden.
Verknüpfungwunsch: ID #668; ID #11756; ID #12029; ID #12030; ID #746; ID #12028",ID #12031; ID #507; ID #753; ID #1027; Hr. Schröder et consort. (Sollingsteinhändler Bremen),,StAB,2-S.2.v.10.a,unfoliert,
1731-11-26,Karte der Grenzsituation zwischen hess. Schaumburg und Schaumburg-Lippe am Bückeberg,"Verzeichnis der Grenzübertretenden Steinbrüche auf dem Bückeberg. 15 Brüche überschreiten die Grenze, wobei fünf konkreten Pächtern zugeordnet sind. Die anderen haben N.N. als Angabe. Kuhle C ""Schwartzen Schwieger-Sohns Kuhle, D. N: Schwartzen Kuhle, E. Friedrich Stellings Kuhle [...] M. Mindermans Kuhle [...] P. Friedrich Müllers Kuhle"" Die Grenzüberschreitung liegt zwischen 1 Morgen 68 Ruten und 3 fuß und 1 Rute 5 Fuß.
Verknüpfungswunsch: ID #30; ID #31; ID #11756","Steinkuhlenpächter Schwartze (Obernkirchen), Schwiegersohn des Schwartze (Obernkirchen), Steinkuhlenpächter Minderman (Obernkirchen), Friedrich Müller (Steinbruchpächter Obernkirchen)",,NLA BÜ,S 1 B 00228,,
1732-09-13,Eingabe der Gebrüder Fopma an den Rat der Stadt Bremen bezüglich der Aufforderung an den Hafenmeister zu Vegesack taugliches Gerät bereitzuhalten,"Die Steinhändler Fopma wenden sich an den Bremer Rat mit einer Beschwerde über die unzureichenden Geräte des Hafenmeisters in Vegesack. Sie werfen ihm vor, dass dieser durch mangelhaftes Arbeitsgerät für den Verlust von Steinen, die Beschädigung von Schiffen und einen wirtschaftlichen Schaden der Steinhauer verantwortlich ist. Dabei werden verschiedene Beispiele aus den Jahren 1725 (Zerbrechen eines Plattstücks und eines behauenen Steins bei der Beladung der Schiffe von Hobbe annes und Tymen Olden), 1728 (Verlust von Stein durch Versenken im Hafen, Bergekosten, Bezahlung des beschädigten Schiffes)und 1732 (Beschädigung des Schiffes von Marten Lübbers durch das Herunterfallen von Stein). Der schlechte Zustand des Krans sei darüber hinaus durch den Hafeninspektor H. Bendtleben bestätigt worden. Darüber hinaus werfen die Fopmas dem Hafenmeister vor, das Löschen zu verzögern, um Liegegeld von den Schiffern zu bezahlen, und diese dann, wenn sie sich auf Grund der langen Wartezeit für das Leichtern auf der Weser entscheidet, mit Strafenzahlungen belegt. Darüber hinaus habe er die Taxe für Stein selbstständig von 9gl auf 12gl pro Fuss erhöht. Die Fopmas fordern den Rat auf, den Hafenmeister anzuweisen, besseres Gerät anzuschaffen und für einen zügigen Ablauf deUmladung zu sorgen.
Verknüpfungswunsch: ID #668; ID #761","ID #753; ID #12031; ID #507; J. Fopma (Steinhändler Bremen), Johann Hiller (Hafenmeister Vegesack), Tymen Olden (Schiffer), Hobbe Annes (Schiffer), Marten Lübbers (Schiffer), H. Bendtleben (Hafeninspektor Vegesack)",,StAB,2-P.13-20 Steinkran,unfoliert,
1732-09-22,Schreiben des Hafemeisters Johann Hillers an den Rat der Stadt Bremen mit Stellungnahme zu den Vorwürfen der Steinhändler Fopma bezüglich schlechten Geräts,"Der Hafenmeister Johann Hillers nimmt Stellung zu den Vorwürfen der Steinhändler Fopma für den Verlust von Waren und die Beschädigung von Schiffen durch unzureichende Geräte verantwortlich zu sein. Er wiederspricht und betont stattdessen, dass die ungeheuren Größen der Steine mit einem Gewicht bis zu 7000 Pfund mit eine Rolle für die Unfälle spielen. Die schweren Steine hätte bereits zur Zerstörung seines Krans geführt, welcher ""auß der Erde gerißen worden"" sei. Darüber hinaus räumt er auch die Vorwürfe der Fopmas mit Gegenargumenten aus. Der Unterstellung, die Schiffer grundlos aufzuhalten, entgegnet er, dass es rechtlich nicht erlaubt sei, auf dem Fluss Waren zu löschen. Den Preis für die Steinverladung habe er auf Grund der Größe der Steine rechtmäßig angepasst. Hillers wünscht sich vom Rat eine Stellungnahme.
Verknüpfungswunsch: ID #668; ID #761","ID #753; ID #12031; ID #1027 (evtl. Meister Barkemeyer, Steinhändler Bremen); Johann Hillers (Hafenmeister Vegesack), Martin Lubbers (Schiffer), Henrich Tackenburg (Angestellter für Steinhändler)",,StAB,2-P.13-20 Steinkran,unfoliert,
1732-10-03,"Beschluß des Bremer Rates zu dem Streit zwischen den Steinhändlern Henrich und Johan Fopma und Johann Hillers, Hafenmeister zu Vegesack","Der Rat entscheidet im Streitfall zwischen den Steinhändlern Fopma und dem Hafenmeister Johann Hillers, dass der letztere für eine gute Ausstattung des Hafens mit dem Kran und dem Zubehör zuständig sei. Darüber hinaus solle er die Schiffer nicht unnötig lange aufhalten. Eine willkürliche Aufhaltung der Schiffer durch den Hafenmeister wird deshalb unter Strafe gestellt. Die Rheder- und Hafenherren sollen den Betrieb dahin gehend überprüfen. Dem Hafenmeister wird zugestanden, ""von den ungewöhnlich grossen Steinen ein paar Groten mehr zu nehmen...""
Verknüpfungswunsch: ID #668; ID #761","ID #753; ID #12031; Heinrich Fopma (Steinhändler Bremen), Johann Fopma (Steinhändler Bremen), Johann Hillers (Hafenmeister Vegesack)",,StAB,2-P.13-20 Steinkran,unfoliert,
1734-03-10,Eingabe des Steinhändlers Dietrich Berckemeyer und Consorten an den Rat der Stadt Bremen mit Beschwerde über den Hafenmeister Hillers in Vegesack,"Die Steinhändler werfen dem Hafenmeister vor, die Verladung von Graustein im Vegesacker Hafen zu verzögern, was bei den Auftragnehmern, Auftraggebern und den Schiffern zu Verlusten und Schwierigkeiten führe. Außerdem sei es innerhalb von vier Jahren zu einem Verlust von 18 Rthlr gekommen, ""da die Kette bey Ubersetzung der Steine zerrißen, und ein großer Grau-Stein in Stueken zerbrochen."" Darüber hinaus sprechen die Steinhändler auch die Gebühren für die Steinverladung an, die gemeinhin ""für ein Fuder Grau-STeine 10gl: für ein LeickenStein 36 gr. und für ein Platt-Stuck 24gr"" betrage, der Hafenmeister den Preis aber nach gutdünken anpassen würde. Die Händler beschweren sich auch über das Verbot auf dem Strom umzuladen. Sie hoffen, dass beim Elsflether Zoll ein weiterer Kran errichtet werden könne, welcher besser erreichbar und für den Steinhandel vom Vorteil sein könnte. Es folgt die Bitte an den Rat, den Hafenmeister anzuhalten für ein zügiges Umladen mit gutem Gerät zu sorgen und dabei die gegebenen Preise einzuhalten. Falls dies nicht möglich sei, hoffen die Steinhändler, dass Hillers aus seiner Position entlassen wird.
Verknüpfungswunsch: ID #668; ID #761","ID #753; ID #1027; ID #510;  ID #12031; Johann Bielfeld (Steinhauermeister und Steinhändler Bremen), Johann Hillers (Hafenmeister Vegesack), N. Fopma (Steinhändler Bremen)",,StAB,2-P.13-20 Steinkran,unfoliert,
1734-03-12,Schreiben des Hamburger Senats an den Bremer Rat bezüglich Schwierigkeiten beim Steintransport für die Kirche St. Catharinen in Hamburg,"Der Hamburger Senat wendet sich an die Bremer Regierung auf Bitten der Kirchengemeinde St. Catharinen. Einige Abgeordnete dieser Gemeinde seien beordert worden, ""große gebrochene steine einzukauffen und anhero zu bringen, darunter sehr gehindert und aufgehalten wurden, unter den Vorwand, daß die steine wegen ihrer Schwere mit dem Krahn nicht wohl gehoben und transportiret werden könnten."" Hamburger Senat bittet den Bremer Rat den Hafenmeister dazu zu bewegen, die Arbeiten auszuführen, ""als der ohnedem sehr kostabhre Bau an besagter Kirchen durch solche Verzögerung noch schwerer gemacht, und die zudem Ende beonders angenommene Leute außer Arbeit gesetzet werden würden...""
Verknüpfungswunsch: ID #668; ID #1296; ID #761; ID #12029",ID #753; Hamburger Rat ,,StAB,2-P.13-20 Steinkran,unfoliert,
1734-03-15,Konzept Schreiben des Bremer Rates an den Hamburger Senat bezüglich der Verzögerung der Steinumladungen in Vegesack für den Hamburger St. Catharinen-Bau,"Der Bremer Rat sichert den Hamburgern eine zügige Lieferung der bisher aufgehaltenen Steine in zwei großen Schiffen zu und garantiert, dass auch die noch eintreffenden ohne Zeitverzögerung nach Hamburg weiterverschifft würden.
Verknüpfungswunsch: ID #668; ID #1296; ID #761; ID #12029",ID #753;Rat der Stadt Hamburg,,StAB,2-P.13-20 Steinkran,unfoliert,
1734-03-19,"Protokoll über Befragung der Steinhändler Dierich Berckmeier, Johann Bielfeld, Theoph. Wilh. Freese und des Hafenmeisters Johann Hillers bezüglich ihres Streits um Qualität des Arbeitsgeräts am Hafen und der Preise für die Verladung von Stein, aufgenommen durch Christiano Schöne und Caps. von Rheden","Die Kommissare des Senats Christiano Schöne und Casp. von Rheden nehmen die Aussagen der beiden Parteien auf, um den Konflikt näher zu untersuchen und eine Lösung herbei zu führen.  Diedrich Berckmeyer sagt aus, dass der Hafenmeister sich nicht beschweren bräuchte, da er für schwerer Steine auch eine höhere Gebühr verlange, obwohl er die selbe Arbeit tätige wie für die Verladung eines kleineren Steins . Er betont aber, dass der Hafenmeister für die verlängerte Liegefrist seines Schiffers verantwortlich sei, und deshalb auch an dem Schaden beteiligt werden solle. Johann Bielfeld äußert sich ebenfalls und unterstützt Berckmeyer. Theophilius Wilhelm Frese stimmt seine Vorrednern zu, betont den Verlust, den er durch die Ladeverzögerungen erhalten hätte. Alle drei äußern sich dahin gehend, dass sie bereit sein, eine höhere Gebühr für die Verladung zu bezahlen. Der Hafenmeister Johann Hillers antwortet, dass er bei den Gebühren nur der Akzieserolle folge. Mögliche Verzögerungen im Ablauf seien weniger seine Schuld, als dem Fehlen von Hilfsarbeitern zu danken. Darüber hinaus müsse er höhere Gebühren für große Steine nehmen, da die Überladung schwieriger und mit einem höheren Risiko verbunden sei. Die drei Steinhändler zeigen Bereitschaft eine höhere Gebühr zu bezahlen, betonen aber, dass der Hafenmeister für die Aufstockung der Arbeiter zu ständig sei und sie darüber hinaus für die Verluste durch die Wartezeit der Schiffer entschädigt werden wollen. Hillers sieht dies nicht ein, da er die Verzögerungen ja nicht verursacht habe. Die Kommissare betonen, dass eine gütliche Einigung für beide Parteien sinnvoll sei, da sonst sowohl der Hafenmeister als auch die Steinhändler Nachteile zu erwarten hätten. Die Steinhändler fordern vom Hafenmeister eine Entschädigung von 25Rthlr und überlassen es ihm, sich mit den Schiffern über deren Forderungen zu einigen, wobei sie bereit wären, die Hälfte dieser Forderungen zu übernehmen. Dieser Kompromis wird vom Hafenmeister angenommen. Die Kommissare schließen, daß ""er [Hafenmeister W.N.] zu übersetzung der größeren Steine, gute und bequeme geräthschafft verräthig hätte, auch der Kauferen mit Übersetzung der Steine nicht aufgehalten würde und müsse Übrigens der Haven-Meister sich datione der Stein und was davon zu erlegen nach dem accise-zettel, so ihm praesentiert wurde, auch nach seiner Rolle sich lediglich reguliren.""
Verknüpfungswunsch: ID #668; ID #761","ID #753; ID #1027; ID #510; Johann Hillers (Hafenmeister Vegesack), Johann Bielfeld (Steinhauermeister und Steinhändler Bremen), Christiano Schöne (Kommissar des Senats Bremen), Casp. von Rheden (Richter Bremen)",,StAB,2-P.13-20 Steinkran,unfoliert,
1734-03-24,Bestätigung des Übereinkommens zwischen Steinhändlern und Hafenmeistern vom 1734-03-19 durch die Steinhändler Fopma,"""Zeigte, in Concellaria, Hector Fopma für sich und nahmens seines Brudern Jacobs an, mit dem inhalt gegenwärtigen Protocolli vollenkommen ihrerseits freidlich zu seyen: mit begehren selbiges mit anhero zu verzeichnen.""
Verknüpfungswunsch: ID #668; ID #761; ID der vorherigen Quelle",ID #12031; ID #597; Jacob Fopma (Steinhändler Bremen),,StAB,2-P.13-20 Steinkran,unfoliert,
1736-01-25,"Karte der Grenzsituation zwischen hess. Schaumburg und Schaumburg-Lippe am Bückeberg, Blatt 9, durch Joh. Christoph Rüstmeier","Blatt 9 der Gesamtübersicht über den Grenzverlauf zwischen hess. Schaumburg und Schaumburg-Lippe zeigt den Grenzverlauf am Bückeberg und die Verschiebung der Grenze, die auf Grund der sich ausdehnenden Steinkuhlen vereinbart wurde. Die eingezeichneten Kuhlen sind mit den Namen ihrer Pächter beschriftet. Von links nach rechts: ""Friedrich Stelling, wüste Kule, im Kuhstall, [unbeschriftete Kuhle],  Wilhelm Friederich Eichman, Johann Münderman, [unbeschriftete Kuhle], Lüdewig Steilling, Georg Schwartz, Friedrich Stelling, Wilhelm [heekelman?], Siemon Henr. Toltzman, Diterich Münderman, Lüdewig Stelling, Henrich Wetter, Andon Stoeks [?], conrad Münderman Erben, Hector Rösemeyer, Joh. henrich Linneman, Friedrich Müller, Hector Rösemeyer, Ludewig Schwartz, Cunrad Münderman Erben, Lüdewig Stelling, Cunrad Fahrelman, David Blümer, Friederich Münderman, Ludewig Stelling, Johann Münderman, Cunrad Münderman Erben, Johan Münderman, Siemon henr. Foltzman, Fried. Wilhelm Eickman, Ludewig Stelling, Hector Rösemeyer, Georg Fried. Wetter, Friederich Müller, Hector Rösemeyer""
Verknüpfungswunsch: ID #11756; ID #30; ID #31; ID #12029","Friedrich Stelling (Steinbruchpächter Obernkirchen), Wilhelm Friedrich Eichman/ Fried. Wilhelm Eickman [derselbe?](Steinbruchpächter Obernkirchen), Johann Münderman (Steinbruchpächter Obernkirchen), Ludewig Stelling (Steinbruchpächter Obernkirchen),  Georg Schwartz (Steinbruchpächter Obernkirchen), Friedrich Stelling (Steinbruchpächter Obernkirchen), Wilhelm [heekelman?] (Steinbruchpächter Obernkirchen), Siemon Henr.[ F/T?]oltzman (Steinbruchpächter Obernkirchen), Diterich Münderman (Steinbruchpächter Obernkirchen), Henrich Wetter (Steinbruchpächter Obernkirchen), Andon Stoeks (Steinbruchpächter Obernkirchen), Conrad Mündermans Erben (Steinbruchpächter Obernkirchen), Hector Rösemeyer (Steinbruchpächter Obernkirchen), Joh. Henrich Linneman (Steinbruchpächter Obernkirchen), Friedrich Müller (Steinbruchpächter Obernkirchen), Ludewig Schwartz (Steinbruchpächter Obernkirchen), Cunrad Fahrelman (Steinbruchpächter Obernkirchen), David Blümer (Steinbruchpächter Obernkirchen), Georg Fried. Wetter (Steinbruchpächter Obernkirchen)",,NLA BÜ , P II 15569,Blatt 9,
1737-09-30,Eingabe Jacob Fopmas an den Rat mit Stellungnahme zur Auslastung seines Steinlagerplatzes an der Teerhofspitze,"Der Steinhändler Jacob Fopma berichtet dem Bremer Rat über den Zustand seines Steinlagerplatzes an der Spitze des Teerhofes. Es war vermuthlich zu Konlikten mit Henr. Heimen gekommen, welcher mit der Neustadtfähre an der Teerhofspitze anlegen möchte. Fopma beginnt seine Ausführungen mit dem Hinweis auf den Kauf des Grundstückts [J] 1669-08-27 und [J] 1669-09-16 von der Witwe des ehemaligen Bürgermeister Herman Hausmans und dem Doktor Johann Wachman durch Fopmas ""Alt-Oheim Hector von Berchem"". Das Grundstück  wird wie folgt beschrieben: ""zu Ende des Theer- und Bauhoffes ins Westen stehenden, alsogenandten Sage-Walck- und Lohe-Müheln sopt beyden halbscheiden des dazugehörigen, von der verabchiedeten Zwerge gaße, für den beyden vordersten Pilaren ins Osten anfangenden, und mit der Kleine und Großen Weser ins Süden, Norden und Westen, umbfloßenen Platzes."" Fopma betont, dass er als Eigentümer das Recht habe, den Platz so zu gestalten, wie es für ihn nützlich sei. Dies schließt die Belegung ""mit großen und 2 bisß 3 hochgestapelten Grausteinen, Stein-Winden, Buden, Pfahlen etc."" mit ein. Darüber hinaus seien Seilzüge gespannt, welche für das Auf- und Abladen der Steine auf die um die Spitze des Teerhofs anlgegenden Böcke zu ermöglichen. So könnten dort mehr als 12 Eichenkähne anlegen. Für die Jahre 1711 erwähnt er das Anlegen von 28 Schiffen, für 1728 erklärt er, dass auf Grund der hohen Anzahl an Quaderstein kaum freier Platz zum Gehen gewesen sei. 1730 war das Lager so überfüllt, dass es Schwierigkeiten bei der Beladung von Wagen mit Steinen für ""Vechtische Kloster""(evtl. Klosterkirche erb. 1727-32?) kam. Darüber hinaus verbesserte Fopma auch die Infrastruktur für die Schiffer, da er das Ufer für die Anladung erhöht und die Weser vertieft habe.
Verknüpfungswunsch: ID #668; ID #12029; Teerhof","ID #753; ID #12031; Jacob Fopma (Steinhändler Bremen), Henr. Heimen (Schiffer der Neustadtfähre?, Bremen), Witwe von Herman Hausmann (ehem. Bürgermeister Bremen, um 1669), Johann Wachman (Bremer Bürger 1669, Doktor), Hector von Berchem (Onkel Jacob Fopmas, Steinhändler um 1669), ",,StAB,"2-P.3.B.2.f, Nr. 29",,
1738-05-14,Eingabe von Theophilius Wilh. Freese an den Rat der Stadt Bremen bezüglich Vergrößerung seines Hauses auf der Werderinsel,"Freese wendet sich mit der Bitte an den Rat,  bei seinem Haus ""zwischen der großen und kleinen Weser Brücken belegen[..]"" auf dem anliegenden ""nach dem Theerhoff hin [...]unbebauten Platze eine Steinbude aufzurichten, wozu ich etwa 17 bis 18 Fueß von diesen unbebaut gebliebenen Platze gebrauchte."" Der neue Arbeitsplatz wird benötigt, da die Anzahl der Gesellen zu genommen habe, und um die Gesundheitssituatin der Beschäftigten zu verbesseren, da ""mir und meinen Leuten der Staub von denen unter der Arbeit habenden steinen, welcher der Gesundheit sehr nachteilig ist"" sehr zusetzt.
Verknüpfungswunsch: ID #668; ID #12029; Teerhof/Werderinsel",ID #510; ID #753,,StAB,"2-P.3.B.2.f, Nr. 30",,
1740-09-17,"Eingabe des Bremer Steinhaueramts an den Rat der Stadt Bremen mit der Bitte, den Handel mit vorfabrizierten Steinen aus Obernkirchen zu verbieten","Das Steinhaueramt in Person von sechs Meistern wendet sich an den Rat der Stadt Bremen. Anlass ist die Einfuhr und der Verbau einer großen Menge bereits verarbeiteten Grausteins aus Obernkirchen durch die Gebrüder Uhthoff in Bremen. Diese nahmen zu Vorwandt, dass das Bremer Steinhaueramt nicht hätte zeitgerecht liefern können. Außerdem stände jedem Bürger Bremens der freie Handel zu, so dass auch der Dr. Ahasverus seinen Stein aus Obernkirchen kommen lasse. Die Steinhauer lassen diese Argumente allerdings nicht gelten und führen an, dass keine Anfrage über zeitgerechte Steinbeaerbeitung bei ihnen vorgelegen hätte. Zwar wäre es durch die vielen Aufträge nach der Zerstörung der Häuser durch die Explosion des Pulverturms zu Verzögerungen gekommen, aber kein Auftrag sei jemals nicht fertig geworden. Die Steinhauer stellen die Freiheit, fertige Steinarbeiten einzuführen in Frage, auch da diese den Zunftgerechtigkeiten widerspräche. Dieses Vorgehen würde die komplette Zunft schädigen und die Steinhauer in den Ruin treiben. Sie hoffen, dass die Bearbeitung von Steinen zu einem Privileg der Zunft werde. Dabei berufen sie sich darauf, dass auch die Zimmerzunft ein solches Privileg besäße. Sie sprechen auch die verminderten Einnahmen der Stadt ein, die einträte, wenn nur noch mit in der Fremde bearbeiteten Stein gehandelt würde. Sie schließen mit der Bitte, die Bremer Steinhauerzunft zu schützen und den Handel mit fremder Arbeit einzuschränken.
Verknüpfungswunsch: ID #668; ID #745; ID #11756; ID #12029","ID #753; ID #510; ID #519; Gebrüder Uhthoffs (Bürger Bremen), Dr. Ahasverus (Bürger? Bremen), Matthies Ladecker (Steinhauermeister Bremen), Frantz Heßehus (Steinhauermeister Bremen), Johann Hinrich Hupe (Steinhauermeister Bremen), Andrees Gehrcken (Steinhauermeister Bremen)",,StAB,2-S.2.v.10.a,unfoliert,
1743-10-10,Eingabe der Witwe des Steinhändlers Johann Bielfeld an den Rat der Stadt Bremen bezüglich Erlaubnis um Vorbeifuhr unbearbeiteter Quadersteine aus Obernkirchen,"In ihrer Eingabe bezieht sich die Steinhändlerin Wittwe Bielfeld auf die bereits vorher erteilte Erlaubnis Quadersteine direkt in Obernkirchen bestellen und an Bremen vorbei zum Verbauungsort transportieren zu lassen. Diese waren bereits zuvor für Schleusen- und Sielbauten in der Graffschaft Oldenburg benötigt worden und auch der neue Auftrag bezieht sich auf dortige Schleusenbauten. Die Wittwe betont, dass die Steine keinerlei ""Zierath, Gesiemse und Leisten"" haben, also keine aufwändige Steinhauerarbeit nötig sei.  Dieser Eingabe liegt eine Anlage bei, in der in neun Punkten dargelegt wird, warum der auf betreiben des Steinhaueramtes gefasste Beschluss von 1740, den Handel mit bereits bearbeiteten Stein direkt zu Zielen außerhalb Bremens verbietet, nachteilig für den Steinhandel sei. Insbesondere wenn es sich um Aufträge für Schleusen, Siehle oder Brücken handelt. 
Verknüpgunswunsch: ID #668; ID #745; ID #12029; ID #11756",ID #753; Wittwe Johann Bielfeld (Steinhändlerin Bremen),,StAB,2-S.2.v.10.a,unfoliert,
1745-07-02,Eingabe des Bremer Steinhauermeisters Johann Bielfeld [Sohn Wittwe Bielfeld] an den Bremer Senat bezüglich der Durchfuhr von Quaderstein ins dänische Gebiet gegenüber Blexen,"Johann Bielfeld wendet sich an den Bremer Rat, mit der Bitte, die Durchfuhr von in Obernkirchen bis Vegesack von zugehauenen Sandsteinquadern für Schleusenbauten im Dänischen gegenüber von Blexen zu erlauben. Dabei bezieht er sich auf die vorher erteilten Zusagen für ähnliche Anliegen an seine Mutter in den Jahren 1742-12-19 und 1743-10-25. Es handelt sich um eine Steinmenge von 18000 Cubikfuß.
Verknüpfungswunsch: ID #668; ID #761; ID #11756; ID #12029","ID #753; Johann Bielfeld (Steinhauermeister und Steinhändler Bremen), Bürgermeister Henrici Meyer (Bremen), Mutter Johann Bielfeds (Steinhändlerin, verstorben)",,StAB,2-S.v.10.a,unfoliert,
1754-09-17,Testamenterstellung des Bremer Steinhändlers Hector Fopma,"Im Testament vermacht Hector Fopma den Haupteil seines Erbes an seine Tochter Helena Elisabeth Fopma. Diese ist mit Christian Meier dem Jüngeren verheiratet. Sie soll oder kann das Vermögen, ""was §3 von ihrem Teile ohne ihres ehemanns Herschopey verbleibt nach gutfinden im Steinhandel continuiret werden..."" Als Vermögensverwalter für seinen Enkel setzt Fompa den städtischen Arichvar Simon herman Post ein. Bezeugt wird das Testament von Dr. jur. und Bürgermeister Henrich Gerhard Schumacher und dem Ratsherrn Nicklaus christian Jakobs  Die Testamentseröffnung findet am 1755-03-11 statt.
Verknüpfungswunsch: ID #668; ID #12029","ID #12031; ID #507; Helena Elisabeth Fompa, verheiratete Meier (Tochter von Hector Fopma), Christian Meier (Eheman von H.E. Fopma), Christian Meier (Sohn von Helena Elisabeth Fopma und Christian Meier), Siemon Hermann Post (städt. Archivar Bremen), Dr. jur. hernich Gerhard Schumacher (Bürgermeister Bremen), Nikolaus Christian Jakobs (Ratsherr Bremen)",,StAB,2-Qq.4.c.3.b.3.b,S. 104-113,
1755-03-11,Erföffnung des Testaments des Steinhändlers Hector Fopmas ,"siehe 1754-09-17
Verknüpfungswunsch: Quelle Testament erstellung des Bremer Steinhändlers Hector Fopma",ID #507,,StAB,2-Qq.4.c.3.b.3.b,S. 104,
